artists,year,type,genre
기리보이 (홍시영),2010,"Solo, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Indie"
김필,2010,"Solo, Male","Ballad, Dance, R&B/Soul, Indie, Rock/Metal, Folk/Blues"
김소유 (김소희),2010,"Solo, Female",Trot
김하온 (HAON),2010,"Solo, Male","Ballad, Rap/Hiphop"
김동률,"1990, 2000, 2010","Solo, Male",Ballad
나플라(nafla),2010,"Solo, Male","Rap/Hiphop, Indie"
뉴이스트,2010,"Group, Male","Ballad, Dance"
나얼 (유나얼),"1990, 2000, 2010","Solo, Male","Ballad, R&B/Soul, CCM, KoreanCCM"
넬 (NELL),"2000, 2010","Group, Male","Ballad, Dance, POP, Rock/Metal, Electronica"
노을,"2000, 2010","Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Rock/Metal"
다비치,"2000, 2010","Group, Female","Ballad, Dance, Rap/Hiphop, R&B/Soul"
다이나믹 듀오,"2000, 2010","Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Rock/Metal, CCM, KoreanCCM"
드림캐쳐,2010,"Group, Female","Ballad, Dance, POP, Rock/Metal, J-POP"
디오 (D.O.),2010,"Solo, Male","Ballad, R&B/Soul"
동방신기 (TVXQ!),"2000, 2010","Group, Male","Ballad, Dance, R&B/Soul, Rock/Metal, Electronica"
릴러말즈 (Leellamarz),2010,"Solo, Male","Rap/Hiphop, R&B/Soul"
러블리즈,2010,"Group, Female","Ballad, Dance"
로꼬 (권혁우),2010,"Solo, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Folk"
린 (이세진),"2000, 2010","Solo, Female","Ballad, Dance, R&B/Soul, Rock/Metal"
레이니 (Rainy),2000,"Solo, Male","Ballad, Indie, Rock/Metal"
마마무(Mamamoo),2010,"Group, Female","Ballad, Dance, Rap/Hiphop, R&B/Soul, Rock/Metal"
머쉬베놈 (MUSHVENOM),2010,"Solo, Male","Indie, Rap/Hiphop"
멜로망스,2010,"Group, Male","Ballad, Dance, Indie, Rock/Metal, Folk/Blues"
매드클라운,2010,"Solo, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Indie, Rock/Metal"
몬스타엑스,2010,"Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul"
볼빨간사춘기,2010,"Group, Female","Ballad, Dance, Indie, Rock/Metal, Folk/Blues"
